"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2024","121.91","123.72","124.00","121.59","667.93K","-1.71%"
"02/01/2024","124.03","123.03","124.75","122.47","737.37K","1.38%"
"01/31/2024","122.34","121.56","123.12","121.41","811.29K","0.90%"
"01/30/2024","121.25","120.75","121.59","120.59","423.97K","0.60%"
"01/29/2024","120.53","119.91","121.03","119.72","371.32K","0.57%"
"01/27/2024","119.84","119.84","119.84","119.84","","0.24%"
"01/26/2024","119.56","119.91","120.38","119.38","329.37K","-0.21%"
"01/25/2024","119.81","119.28","120.12","119.00","404.03K","0.49%"
"01/24/2024","119.22","120.03","120.66","119.12","488.40K","-0.49%"
"01/23/2024","119.81","120.62","120.81","119.62","346.01K","-0.75%"
"01/22/2024","120.72","120.25","121.16","120.12","320.88K","0.34%"
"01/20/2024","120.31","120.31","120.31","120.31","","0.26%"
"01/19/2024","120.00","119.97","120.41","119.31","403.17K","0.08%"
"01/18/2024","119.91","120.75","121.09","119.69","425.13K","-0.72%"
"01/17/2024","120.78","121.12","121.56","120.38","560.59K","-0.23%"
"01/16/2024","121.06","123.06","123.09","120.84","623.98K","-1.18%"
"01/15/2024","122.50","122.88","123.09","122.31","53.33K","-0.28%"
"01/14/2024","122.84","123.13","123.13","122.81","3.63K","-0.23%"
"01/13/2024","123.13","123.13","123.13","123.13","","0.20%"
"01/12/2024","122.88","122.91","123.41","122.28","472.06K","0.13%"
"01/11/2024","122.72","122.16","123.47","121.47","557.83K","0.46%"
"01/10/2024","122.16","122.44","122.94","121.94","372.26K","-0.20%"
